patent_id,inventor_id,company_id
10011416,fl:la_ln:sperry-2,738d0229-e52b-4db2-bf0e-5f56a112f6d4
10004249,fl:ch_ln:fong-21,6682b0a4-53be-497d-8faa-160d76fd8da9
10008240,fl:ya_ln:yomogida-1,6145eccf-2944-4bfc-8a82-e87bfce4d434
10005751,fl:ma_ln:jansma-1,1b606c63-f004-4846-8e11-d819cee5029a
10020088,fl:ta_ln:hokazono-1,ca7d474c-dd74-4bed-add6-013f3f323e96
10002731,fl:wa_ln:chen-82,38cff6e0-fc52-4faf-9fa9-b72912600dee
10015698,fl:he_ln:cho-66,906da649-dd98-4eac-a78c-d5dc3cc385b1
10023042,fl:ja_ln:kook-2,ea96c059-5267-4b52-ac70-4cd0915c519e
10018569,fl:da_ln:evans-12,63f97238-f8b7-4806-b99b-ee5dde33a127
10008767,fl:ha_ln:yasin-1,7aabb748-1972-48d7-8e82-76ddd0936fae
10022784,fl:hi_ln:kanahashi-1,28bcd129-e6cb-42c4-801a-ebe19fda2b1d
10019885,fl:ta_ln:miyake-31,ac2f0f5c-98ed-4529-b969-9eb88e8e01cc
10013232,fl:da_ln:datta-2,b411e6be-058a-4efc-b6d5-d6bb631f96a9
10005185,fl:th_ln:heinrich-2,038070c3-3c21-4caa-86d9-2361c6310592
10004254,fl:di_ln:oberdoerfer-1,bb82d49b-c289-4c60-a272-5c60048e1fe7
10000293,fl:je_ln:hamel-11,b904f566-62d6-44a5-8689-7b5c5a3a1a19
10023553,fl:jo_ln:devries-12,e30cbfc9-a5d1-4d33-8b15-d5a922b6ddcb
10021222,fl:ma_ln:mosko-2,7f7f1d2f-d858-4e97-8723-87f06ac28989
10005657,fl:ca_ln:flohr-1,a6ec2f09-8c9f-40d8-9ef4-92c511be5fd3
10009180,fl:wi_ln:kennedy-4,55d60fc6-09e8-484f-a6eb-5e77c2dbbc37
10021499,fl:ch_ln:borss-1,8065a93f-941f-4147-a87b-fc6573108bc6
10004599,fl:ar_ln:quadri-2,6e6b09e4-3b3a-400e-8e8c-731186f22744
10013652,fl:st_ln:kanthak-1,0e9bd438-1279-491c-85d9-8a124695a390
10008931,fl:hi_ln:ideno-4,6ec66b24-c119-4357-a494-4c34c08da4e8
10001236,fl:pe_ln:lewis-5,b904f566-62d6-44a5-8689-7b5c5a3a1a19
10013375,fl:he_ln:lee-88,533e0469-baac-46b7-9576-669db08092eb
10014224,fl:tz_ln:lin-33,88c962da-6df3-4f86-85ba-14c24c3cb600
10013030,fl:su_ln:schneider-3,d530b05a-2539-4dbe-aa54-027b4ab9be0b
10004491,fl:ad_ln:hensel-1,8f089b00-5c6c-41fe-8f94-813ca79cb2b1
10010355,fl:mi_ln:wich-1,fbb09334-0f33-42a7-8dba-f317a3586c24
10018738,fl:em_ln:kamieniecki-1,
10013461,fl:ma_ln:dennehy-2,29b8f534-149e-443c-b76b-3c4a222da89c
10012492,fl:se_ln:alexandrov-4,5833f145-b8fb-43f2-8f6d-96362944003a
10011268,fl:sa_ln:arcangeli-1,85b465d5-cafb-484b-98da-8b6565f27828
10011423,fl:br_ln:fong-7,67e6d2b8-c48a-4fcb-9d7c-245d70a4983d
10020221,fl:ha_ln:tang-79,29b8f534-149e-443c-b76b-3c4a222da89c
10007948,fl:ha_ln:jouhikainen-1,642f3897-34f2-4f65-9c94-a453038c435f
10024597,fl:st_ln:slowik-2,678bf077-8506-428d-aa7c-2f5497eada87
10007476,fl:ke_ln:glikmann-1,611541fb-0645-43f0-94f2-96b391016d47
10003434,fl:mi_ln:ramalho-1,7f7f1d2f-d858-4e97-8723-87f06ac28989
10006355,fl:no_ln:hayashi-14,74c11be2-20ec-49fe-ac26-d839d375bd32
10007734,fl:ap_ln:godiyal-1,d530b05a-2539-4dbe-aa54-027b4ab9be0b
10023918,fl:ch_ln:chiang-24,9956aa11-fb55-4a85-8d60-77e55a939b43
10019538,fl:vi_ln:chacko-2,4db74ea5-393a-44d2-93aa-5910cdfb37d2
10010207,fl:my_ln:brown-2,
10010332,fl:fu_ln:atabey-1,0609cc17-343c-497f-b90b-dc1db74742e5
10013531,fl:am_ln:khoja-1,0f8387a5-95ad-4b67-84db-bec18fe545fd
10016449,fl:ga_ln:mills-7,03617531-0665-4022-8cb9-f40d270fc824
10007676,fl:jo_ln:patterson-41,0f8387a5-95ad-4b67-84db-bec18fe545fd
10008867,fl:la_ln:olah-1,
10002276,fl:ve_ln:rossi-1,dea9533b-c088-4e76-88b2-5ed676f97c77
10019268,fl:te_ln:jendon-1,3b83c3d5-a13e-4141-93a6-d97e216d4e58
10022648,fl:ec_ln:maedebach-1,4034322e-223d-4947-9de1-6cbeba94dd23
10002856,fl:de_ln:sadana-3,29b8f534-149e-443c-b76b-3c4a222da89c
10008839,fl:cl_ln:westwood-2,54ef95e4-43ce-4187-bc8e-6d2a382cc84e
10012937,fl:fu_ln:hirose-10,5b0b2179-927c-48dd-a8ee-211adb1d7e7a
10008594,fl:bu_ln:kim-43,18f3e00a-063f-493b-bb69-4282f52047c7
10001657,fl:hi_ln:fujii-43,aff59855-e1cd-4810-b136-18c3a1a847bd
10023061,fl:ke_ln:miller-8,8a03b7d9-0444-4dfc-9737-bf029c47a462
10013754,fl:se_ln:reynolds-2,d9cbf8f9-432f-47cf-8779-eca9d7997549
10005899,fl:ju_ln:lu-68,04a61266-6d17-4d03-9179-b30f925e473d
10021583,fl:mi_ln:gordon-17,f03635c8-6b6c-4f2b-bb6c-b52678f56aae
10007341,fl:j._ln:colgate-1,54991813-eacc-485c-846e-0d97352c62ca
10003873,fl:ke_ln:hanna-5,85b67cfa-135d-4357-aac9-938aa1f65656
10012429,fl:je_ln:o'connor-5,855c3f14-0bb2-4069-a54e-17a846e1d248
10006383,fl:hi_ln:hagari-1,74c11be2-20ec-49fe-ac26-d839d375bd32
10016517,fl:ad_ln:york-1,09031c67-9dd7-4dd7-8861-4602b7f46b03
10002744,fl:le_ln:chen-57,5d4f358a-1d7b-49f2-b132-6bb9c2cfd725
10016139,fl:hi_ln:kinoshita-21,b4a3b0fe-4dfd-4b58-acae-2a0bbfac2ed7
10016210,fl:ja_ln:lenker-1,e9339ec3-9a4b-41ce-b053-c7701c318e10
10023491,fl:br_ln:zoitos-1,9af58cef-4e16-4e07-ac2d-4c13751990d0
10018817,fl:wi_ln:shain-1,4df34658-7195-4483-84d8-bb7fbb8d60d3
